pool_id,total_stakes,total_rewards
1967,40578553715094,27693022462
1968,96399533406039,52406626626
1971,137191002576045,120099065592
1974,1058921956629826833,653038793962456
1975,344140701244413,405320185533
1976,7230310424786,7284981222
1978,9470992950665190,6626268889077
1979,13387062903296,13101757776
1982,19476316091512962,10724026378298
1986,21129226735750,26929944173
2000,79504899536496,75061406191
2006,150911141675154345,106625404365080
2009,18245361842857212,10850377930784
2020,131352190322922,82977159594
2021,131346775037066,133200177243
2022,328104809672835,203803549875
2023,262576451811404,171777277752
2024,262781087117012,186334674172
2025,197071660388082,133200177240
2026,197003460117540,131016567780
2027,262590823013452,189246153456
2028,197140956851520,148485443484
2029,394276212624270,231462603066
2030,393729398033154,205259289504
2031,262717566284816,174688757036
2032,328440604155145,232918342705
2033,131313792745546,80065680310
2034,131324781217716,72786982100
2035,1384124251432,9463451933
2044,40498029481044,8735228784
2047,1598284646071540,725442415000
2051,2003332269764,10191278258
2054,309435427164468,297020908312
2059,2701111300215387,1886171432400
2060,39517746607398150,23271715318671
2067,24551994599197,36444925275
2071,176966889086207,111414388690
2073,82838381513036,221296490376
2081,199344118169616,109322975950
2084,204877062010896,142691561957
2086,3762365711489268,1991463087264
2087,565042141607900,449589011832
2088,664941508825470,625904541561
2090,1530315697158630,1664083276602
2095,9920408669499,13831291395
2099,96424353934086,74242721058
2100,96393183365064,63324673848
2101,64256769004732,58229585148
2102,96446255736639,63324673845
2105,64271979511326,39304969974
2106,96409432505736,67691892735
2107,991113682118540,1104785360620
2109,64271827412032,40760709604
2111,96409058005422,67691892732
2113,96377627295246,65508283287
2114,128560094426172,78609939948
2115,161117582512425,122282128794
2116,64289248214602,46583668116
2117,36221446561029,13101656655
2119,236105418005600,280242611220
2120,64192397150102,34937751088
2121,64186602965884,42216449232
2124,445021671918808,195919554658
2127,37669221295255,24020086288
2130,4889740453650976,3443266263060
2131,2465749991912445,1589620753710
2138,240073008346764,117941629338
2148,2614577037621849,2271890428395
2152,145911451043864,128162637570
2155,64238572065852264,42075017128692
2158,732781243602716600,525859800034955
2159,259696648817312,163042912128
2168,3099104575963488,2543427701774
2174,1191798199058993247,858353803793460
2176,594442368074632,203075766828
2201,514733920881642,338542904660
2210,202349483221557,61154924943
2212,2113770578656,5823213640
2214,116204843588229,72062383899
2218,5846686379428609,2471817856555
2220,49784444712583,41585347025
2241,209781093525944,116483020840
2242,266042221533968,177450908922
2243,429499510721624,331254993550
2247,96641476727912256,76703462894646
2251,9322481526040,7278862960
2253,31058086335444,7281133040
2256,33512122598980,34945594056
2257,4317927701820,10922463100
2258,11886311010123,8738007660
2259,131868666077985,104109021775
2264,546746234455200,360333270660
2266,691328609901090,985983228404
2272,1673119608356140,1189955678869
2275,33702425700510,25506415655
2276,3038120079512,8739668118
2278,1239245813999268,753501270400
2294,2228877662067814,2443680611523
2307,259532045307817,309943283560
2313,72957451242100,54596400225
2316,2236005803941,12374928371
2323,1192425619360,7278872020
2326,208931570834728,142674131089
2327,103027790718720,78617636424
2328,71491597756854,96083149008
2332,87104814998698,108008500272
2333,124346970790,2183671176
2338,300468432957270,229281079880
2341,273440474762185,308922134242
2343,2571540968027675,1697008851906
2351,2178994871342301,1504267541420
2356,10334144583,500000000
2360,1138596155329750,1520643391290
2362,2639421526032291,2104912912032
2374,176739979086040,203803547080
2385,103449291745009,71379586642
2388,3239116658280,8736947916
2391,2019106070072023,1651104909468
2392,145605143605720,123752499700
2404,14358056545384,5823222996
2405,14547820629012,36339039250
2406,284650010502052,291227236120
2407,449738095151632,204078063616
2409,2173644953361636,1648689423906
2421,47877817349180,66246912264
2422,281905195682788,221462813051
2429,306614351736672,438362541186
2430,8795909894168,6552253269
2433,283128417248,2911684532
2439,72918965470500,113583124772
2444,1133206428641903,1684153266607
2445,108977885139221,196531995090
2455,1169776231369760356,753325339420563
2468,282170053056684,129589940750
2469,9388423510971,2183708577
2470,24203573453171,27680366847
2472,70347557767639390,45643412022228
2476,928378562867634411,654863306400716
2477,1444192602732403656,727371473761116
2478,47106240096396,80105060475
2481,59580645995472,32767504050
2483,80173032959964,16013317936
2484,47600761140936,253318357098
2500,879846452019615,947793796299
2520,54797787617013,62603799545
2523,2820326198930,8736075504
2525,7788813110295,3639365615
2526,5459667715047,5095111840
2532,8049001796858,17481774624
2533,5284241752482,12377154844
2543,41059950504984,61141842272
2553,3325052512962,4367317410
2560,1963052520345265,1301306466646
2562,1688546932527105,1821480587000
2563,5095201606916165,3349249588912
2570,33625571527440,25498745930
2573,55746890250046,37122372949
2580,1246393390131219,768735502722
2583,53889112019334,38605431451
2587,87675572604924,43682106954
2589,197127517493817,122282129928
2590,131280502036248,85888638878
2591,262837965408356,189246153456
2592,196933544087322,126649348854
2595,262591668151284,177600236320
2596,394333249374474,292603668030
2597,131410438746950,71331242458
2598,131416962371310,81521419952
2599,262747779174100,192157632740
2600,196980990341409,159403490802
2601,131424509704266,78609940668
2602,196946734627926,141934615095
2603,197029641175728,141934615095
2615,197005483248330,137567396169
2617,1004098145810166,637603377724
2623,1406552587185996,1060863417656
2629,119237631232105850,83734709427894
2634,1682626576600123,642000156588
2635,939103661414880,881777094078
2638,3503107398661024,2634664026954
2639,5123925691180670,3322441517532
2640,80447248921930,52408531776
2650,29317113676904,42954669750
2651,7431222530214,16747681886
2659,6844215687529428,5973759834588
2664,56945435117160,82981302506
2667,136252227585050,66235946868
2670,184827198425919,83034631972
2677,1154688073072710,1519394769900
2681,278404328277019,207490008402
2702,730820777128530,454190763864
2717,40035804678924,21836818755
2720,3694662514536,8736158424
2743,19852588096992,8750775672
2750,5322835520767804,4589012911054
2752,9038179635552,17493944610
2754,151833792473028,141935260185
2755,103342536185692,124466305095
2756,105702724546552,78610297953
2757,105727618126952,111364588770
2758,105780891756984,111364588770
2759,165741364555516,118030485468
2763,144503112827099,85199262057
2773,128978300391345,171564909387
2775,96011034151424,46588929248
2781,49581266499648,18207063175
2782,44872908003828,52533814266
2783,162854510633774792,110345971055925
2784,109051242045508,67697564028
2785,190212674432634,93202716160
2788,7488192108576,24020750622
2791,1849456673614441,610346174463
2804,352357259240016,301567267710
2821,475952062459509,241680181694
2825,45090732126186,13102252182
2829,620870461830,1455752806
2838,2251867580327655,1947459666328
2839,78753224199993,65508283287
2840,192292002604205,161617775741
2841,308657493623892,198755387523
2843,22440173021640,21838539825
2847,2809802304578265,947690791173
2849,37426201242622,53888646152
2851,60316184003952,34939339200
2863,37082988712528,13107374892
2864,114244336617193,111379235665
2877,13577819874087,16745159637
2884,1005730697065,7500000000
2899,87455270059146,119146446080
2901,1725011465,727869527
2904,148592295667049,77540400414
2907,1095808318942080,711882187705
2913,149165534402577,74291870374
2919,13387957657146,13833779027
2927,3185728801153,13104595470
2928,37286423057323,24045138238
2929,42720813633060,46589968336
2945,232520953294140,326132827520
2953,150664192370451,87510234490
2954,126228725730512,113845804540
2978,39668442851616,28388404473
2981,1024831097583528,815288225600
2982,46199991234087,45957618879
2983,9109446745333,20382553660
2987,9416863854705,4367417166
2988,38968213899654,13104607797
2989,59802836391424,58280300608
2995,21752706156691235,12394134826130
2999,131726517390117,122302472082
3000,614907913212,2183619321
3006,26300033117976,32024563285
3010,29356201570374,26203420629
3020,2769939677153886,3004883100104
3021,177066502158967,34871563776
3040,28101895354365,21836104245
3042,34354742741991,32822087328
3044,5030408382762,6553638309
3049,133514313784380,112219199675
3055,83261455632096,33485798417
3062,54767920881597,131044868220
3064,161964807283980,61895670770
3066,49960308156780,65511915138
3075,60725097239947,21109940101
3086,500854373927410,280293520920
3089,251175385070784,81951860656
3094,64845340602066,53394961105
3095,34719269717982,24208096553
3098,64858604211043,127404327134
3102,211882046947424,122337534984
3111,85757823830352,69882531888
3112,44300241390380,33567810690
3120,434508538235313,420804304732
3139,1565607249576,6551237259
3140,1965820237906,6552753822
3150,19930736977002,10192464618
3152,35002327753155,34941670464
3155,158931147577356,201940446552
3156,153445709321256,91715039073
3161,484294929510,10190571412
3164,55908901829048,156558160393
